,seed,gamma,width,height,lag_p,pi_rand_perf,pi_star_perf,iteration,epsilon_baseline,pi_b_perf,nb_trajectories,method,hyperparam,method_perf,run_time
0,42,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,25000,SPIBB,3,1.7949688939015092,1655.2802851200104
1,42,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.8312895480736895,1705.4532511234283
2,42,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.518675669908616,250.62487077713013
3,42,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.8415079139789725,258.8511779308319
4,42,0.95,7,7,0.0,-0.7919324544909165,0.0,1,0.5,-1.3790545284254425,25000,SPIBB,3,1.88029917117199,1768.5053799152374
5,42,0.95,7,7,0.0,-0.7919324544909165,0.0,1,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.9403102400062802,1512.0734961032867
6,42,0.95,7,7,0.0,-0.7919324544909165,0.0,1,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.440943874672433,252.66285490989685
7,42,0.95,7,7,0.0,-0.7919324544909165,0.0,1,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.818956206969944,251.75102066993713
8,42,0.95,7,7,0.0,-0.7919324544909165,0.0,2,0.5,-1.3790545284254425,25000,SPIBB,3,1.675455825854617,1653.4088771343231
9,42,0.95,7,7,0.0,-0.7919324544909165,0.0,2,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.7090284087882852,1800.3385820388794
10,42,0.95,7,7,0.0,-0.7919324544909165,0.0,2,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.453957283756538,238.08333897590637
11,42,0.95,7,7,0.0,-0.7919324544909165,0.0,2,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.646466551085701,238.36010313034058
12,42,0.95,7,7,0.0,-0.7919324544909165,0.0,3,0.5,-1.3790545284254425,25000,SPIBB,3,1.831354440126488,1713.5604348182678
13,42,0.95,7,7,0.0,-0.7919324544909165,0.0,3,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.8819549230932562,1801.8309309482574
14,42,0.95,7,7,0.0,-0.7919324544909165,0.0,3,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.5575439885498135,238.47816395759583
15,42,0.95,7,7,0.0,-0.7919324544909165,0.0,3,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.935703626864291,238.22902011871338
16,42,0.95,7,7,0.0,-0.7919324544909165,0.0,4,0.5,-1.3790545284254425,25000,SPIBB,3,1.7754841645735289,1708.1830170154572
17,42,0.95,7,7,0.0,-0.7919324544909165,0.0,4,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.8192298472206012,1585.5237030982971
18,42,0.95,7,7,0.0,-0.7919324544909165,0.0,4,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.33018374066475,236.72395491600037
19,42,0.95,7,7,0.0,-0.7919324544909165,0.0,4,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.755925615304599,238.03654503822327
20,42,0.95,7,7,0.0,-0.7919324544909165,0.0,5,0.5,-1.3790545284254425,25000,SPIBB,3,1.7351356355169745,1819.0166611671448
21,42,0.95,7,7,0.0,-0.7919324544909165,0.0,5,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.7928219959763556,1785.59769821167
22,42,0.95,7,7,0.0,-0.7919324544909165,0.0,5,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.3581796167040245,238.18047380447388
23,42,0.95,7,7,0.0,-0.7919324544909165,0.0,5,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.825357511299506,238.4596049785614
24,42,0.95,7,7,0.0,-0.7919324544909165,0.0,6,0.5,-1.3790545284254425,25000,SPIBB,3,1.678982553703711,1741.2850892543793
25,42,0.95,7,7,0.0,-0.7919324544909165,0.0,6,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.7417982410614197,1743.4134531021118
26,42,0.95,7,7,0.0,-0.7919324544909165,0.0,6,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.330684005417348,240.5226707458496
27,42,0.95,7,7,0.0,-0.7919324544909165,0.0,6,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.8575203384447745,241.21002316474915
28,42,0.95,7,7,0.0,-0.7919324544909165,0.0,7,0.5,-1.3790545284254425,25000,SPIBB,3,1.7571086483444538,1825.4635016918182
29,42,0.95,7,7,0.0,-0.7919324544909165,0.0,7,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.815008047187311,1817.4182798862457
30,42,0.95,7,7,0.0,-0.7919324544909165,0.0,7,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.399757532478316,238.86851620674133
31,42,0.95,7,7,0.0,-0.7919324544909165,0.0,7,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.874606311321656,240.96636414527893
32,42,0.95,7,7,0.0,-0.7919324544909165,0.0,8,0.5,-1.3790545284254425,25000,SPIBB,3,1.66990969184403,1733.3151519298553
33,42,0.95,7,7,0.0,-0.7919324544909165,0.0,8,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.718500318455487,1653.7618837356567
34,42,0.95,7,7,0.0,-0.7919324544909165,0.0,8,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.486875395741626,236.24080109596252
35,42,0.95,7,7,0.0,-0.7919324544909165,0.0,8,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.8028406122476,236.66070580482483
36,42,0.95,7,7,0.0,-0.7919324544909165,0.0,9,0.5,-1.3790545284254425,25000,SPIBB,3,1.682488950336576,1457.6998777389526
37,42,0.95,7,7,0.0,-0.7919324544909165,0.0,9,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.7184294668143025,1503.8220419883728
38,42,0.95,7,7,0.0,-0.7919324544909165,0.0,9,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.777589001297891,238.859548330307
39,42,0.95,7,7,0.0,-0.7919324544909165,0.0,9,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.903901555843045,239.36215996742249
40,42,0.95,7,7,0.0,-0.7919324544909165,0.0,10,0.5,-1.3790545284254425,25000,SPIBB,3,1.9155823662782676,1579.8468868732452
41,42,0.95,7,7,0.0,-0.7919324544909165,0.0,10,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.9762478636899592,1567.0223059654236
42,42,0.95,7,7,0.0,-0.7919324544909165,0.0,10,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.578925147448974,237.31918907165527
43,42,0.95,7,7,0.0,-0.7919324544909165,0.0,10,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.822954743321858,237.23624300956726
